Date,^DJI
2017-11-01,24272.35
2017-12-01,24719.22
2018-01-01,26149.39
2018-02-01,25029.2
2018-03-01,24103.11
2018-04-01,24163.15
2018-05-01,24415.84
2018-06-01,24271.41
2018-07-01,25415.19
2018-08-01,25964.82
2018-09-01,26458.31
2018-10-01,25115.76
2018-11-01,25538.46
2018-12-01,23327.46
2019-01-01,24999.67
2019-02-01,25916.0
2019-03-01,25928.68
2019-04-01,26592.91
2019-05-01,24815.04
2019-06-01,26599.96
2019-07-01,26864.27
2019-08-01,26403.28
2019-09-01,26916.83
2019-10-01,27046.23
2019-11-01,28051.41
2019-12-01,28538.44
2020-01-01,28256.03
2020-02-01,25409.36
2020-03-01,21917.16
2020-04-01,24345.72
2020-05-01,25383.11
2020-06-01,25812.88
2020-07-01,26428.32
2020-08-01,28430.05
2020-09-01,27781.7
2020-10-01,26501.6
2020-11-01,29638.64
