Date,^DJI
2017-10-30,23539.19
2017-11-06,23422.21
2017-11-13,23358.24
2017-11-20,23557.99
2017-11-27,24231.59
2017-12-04,24329.16
2017-12-11,24651.74
2017-12-18,24754.06
2017-12-25,24719.22
2018-01-01,25295.87
2018-01-08,25803.19
2018-01-15,26071.72
2018-01-22,26616.71
2018-01-29,25520.96
2018-02-05,24190.9
2018-02-12,25219.38
2018-02-19,25309.99
2018-02-26,24538.06
2018-03-05,25335.74
2018-03-12,24946.51
2018-03-19,23533.2
2018-03-26,24103.11
2018-04-02,23932.76
2018-04-09,24360.14
2018-04-16,24462.94
2018-04-23,24311.19
2018-04-30,24262.51
2018-05-07,24831.17
2018-05-14,24715.09
2018-05-21,24753.09
2018-05-28,24635.21
2018-06-04,25316.53
2018-06-11,25090.48
2018-06-18,24580.89
2018-06-25,24271.41
2018-07-02,24456.48
2018-07-09,25019.41
2018-07-16,25058.12
2018-07-23,25451.06
2018-07-30,25462.58
2018-08-06,25313.14
2018-08-13,25669.32
2018-08-20,25790.35
2018-08-27,25964.82
2018-09-03,25916.54
2018-09-10,26154.67
2018-09-17,26743.5
2018-09-24,26458.31
2018-10-01,26447.05
2018-10-08,25339.99
2018-10-15,25444.34
2018-10-22,24688.31
2018-10-29,25270.83
2018-11-05,25989.3
2018-11-12,25413.22
2018-11-19,24285.95
2018-11-26,25538.46
2018-12-03,24388.95
2018-12-10,24100.51
2018-12-17,22445.37
2018-12-24,23062.4
2018-12-31,23433.16
2019-01-07,23995.95
2019-01-14,24706.35
2019-01-21,24737.2
2019-01-28,25063.89
2019-02-04,25106.33
2019-02-11,25883.25
2019-02-18,26031.81
2019-02-25,26026.32
2019-03-04,25450.24
2019-03-11,25848.87
2019-03-18,25502.32
2019-03-25,25928.68
2019-04-01,26424.99
2019-04-08,26412.3
2019-04-15,26559.54
2019-04-22,26543.33
2019-04-29,26504.95
2019-05-06,25942.37
2019-05-13,25764.0
2019-05-20,25585.69
2019-05-27,24815.04
2019-06-03,25983.94
2019-06-10,26089.61
2019-06-17,26719.13
2019-06-24,26599.96
2019-07-01,26922.12
2019-07-08,27332.03
2019-07-15,27154.2
2019-07-22,27192.45
2019-07-29,26485.01
2019-08-05,26287.44
2019-08-12,25886.01
2019-08-19,25628.9
2019-08-26,26403.28
2019-09-02,26797.46
2019-09-09,27219.52
2019-09-16,26935.07
2019-09-23,26820.25
2019-09-30,26573.72
2019-10-07,26816.59
2019-10-14,26770.2
2019-10-21,26958.06
2019-10-28,27347.36
2019-11-04,27681.24
2019-11-11,28004.89
2019-11-18,27875.62
2019-11-25,28051.41
2019-12-02,28015.06
2019-12-09,28135.38
2019-12-16,28455.09
2019-12-23,28645.26
2019-12-30,28634.88
2020-01-06,28823.77
2020-01-13,29348.1
2020-01-20,28989.73
2020-01-27,28256.03
2020-02-03,29102.51
2020-02-10,29398.08
2020-02-17,28992.41
2020-02-24,25409.36
2020-03-02,25864.78
2020-03-09,23185.62
2020-03-16,19173.98
2020-03-23,21636.78
2020-03-30,21052.53
2020-04-06,23719.37
2020-04-13,24242.49
2020-04-20,23775.27
2020-04-27,23723.69
2020-05-04,24331.32
2020-05-11,23685.42
2020-05-18,24465.16
2020-05-25,25383.11
2020-06-01,27110.98
2020-06-08,25605.54
2020-06-15,25871.46
2020-06-22,25015.55
2020-06-29,25827.36
2020-07-06,26075.3
2020-07-13,26671.95
2020-07-20,26469.89
2020-07-27,26428.32
2020-08-03,27433.48
2020-08-10,27931.02
2020-08-17,27930.33
2020-08-24,28653.87
2020-08-31,28133.31
2020-09-07,27665.64
2020-09-14,27657.42
2020-09-21,27173.96
2020-09-28,27682.81
2020-10-05,28586.9
2020-10-12,28606.31
2020-10-19,28335.57
2020-10-26,26501.6
2020-11-02,28323.4
2020-11-09,29479.81
2020-11-16,29263.48
2020-11-23,29872.47
