,Date,AXP,AAPL,BA,CAT,XOM,GS,HD,RTX,IBM,INTC,DD,JNJ,KO,JPM,MMM,MRK,MSFT,PG,TRV,UNH,VZ,WMT,DIS,CVX,MCD,CSCO,GE,PFE,NKE,V
1,11/1/17,93.251099,40.860806,262.377899,130.330582,70.027824,234.249878,167.302444,70.644981,128.073441,41.394012,91.481392,127.658134,41.447578,95.613213,219.801773,50.567089,80.274361,82.510643,126.133926,201.583954,44.657658,90.938293,101.124474,103.226555,159.78067,34.035469,16.728483,30.490976,58.484463,110.256447
2,12/1/17,94.778091,40.382496,281.04715,145.501205,70.972908,241.742157,177.229828,74.649315,133.083572,42.865089,91.581726,128.799377,41.88781,97.826996,213.851028,51.482002,81.990669,84.243546,126.199028,211.202835,46.447819,92.359932,103.719643,109.62188,160.873367,34.947945,15.960198,30.735659,60.54623,111.854652
3,1/1/18,94.863991,39.952976,337.712097,150.302597,74.078613,254.201309,187.861938,80.758438,142.000931,44.703766,97.188232,127.388985,43.449024,105.813072,227.597733,54.669533,91.067711,79.163994,140.237427,226.837555,47.448219,100.752655,105.682114,109.761978,159.957428,37.904381,14.996974,31.431486,66.253906,121.870773
4,2/1/18,93.388573,42.503876,345.183502,143.440048,64.269341,249.49472,170.44101,78.844933,135.174133,45.771675,90.398689,119.7285,39.459267,106.207954,213.97821,50.028393,89.879158,72.54277,130.022675,216.663483,42.37059,85.07267,100.323616,98.002083,147.432999,41.165592,13.086414,30.812021,65.098206,120.605255
5,3/1/18,89.337349,40.199734,314.009766,136.714676,63.957886,239.66124,166.672531,76.67,134.402649,48.690636,89.39,118.890167,39.650997,101.122856,200.626221,50.259071,87.893845,73.244919,129.891754,205.014053,42.441593,84.089714,97.678398,100.852516,147.086517,39.428135,12.605577,30.395193,64.525215,117.55262
6,4/1/18,94.576157,39.595936,319.449463,133.913208,66.649574,226.786545,173.792313,70.698006,126.98304,48.260574,82.209351,117.350105,39.798389,100.02858,177.659119,54.793915,90.060593,66.833237,123.742165,227.223343,43.799511,84.10614,97.571426,110.642387,157.489258,40.715137,13.157306,31.354406,66.619926,124.687126
7,5/1/18,94.498619,44.773647,337.262634,141.626358,69.641289,214.93956,175.438095,70,123.785683,51.607586,83.340324,110.976532,39.604969,98.899979,180.254669,55.408215,95.183823,68.225586,120.846062,232.134964,42.840816,78.477531,96.735069,109.926041,150.500824,39.578297,13.166656,30.772022,69.941658,128.46077
8,6/1/18,94.210228,44.52298,322.91983,126.485756,71.637413,210.628983,184.506073,73.984512,123.733826,46.743099,86.780334,113.407158,40.397068,96.302925,181.018188,56.497211,95.37394,72.785149,115.035065,235.816299,45.213375,81.947502,101.928246,112.784714,147.378128,39.874832,12.727145,31.375097,77.617714,130.370041
9,7/1/18,95.671432,45.768883,342.929688,134.065369,70.581001,226.72905,186.794662,80.321983,128.366089,45.229191,90.532211,123.856239,43.330868,106.238213,195.373062,61.783062,102.598785,75.414589,123.105453,244.251358,46.408646,85.372734,110.43766,112.641983,149.118835,39.189098,12.85897,34.531635,75.128677,134.592667
10,8/1/18,102.247398,54.749969,329.926666,130.244186,69.420662,227.091965,189.868118,77.931374,129.738922,45.539497,92.322578,125.884377,41.416607,106.471733,194.084763,64.334297,108.643684,78.046661,124.486549,258.951599,49.428562,91.716125,109.815689,105.674904,153.558151,44.612301,12.208004,35.90667,80.29615,144.583267
11,9/1/18,102.739426,54.485802,359.712952,143.038773,74.379715,214.842712,196.905884,83.172241,135.375305,44.737968,85.620819,129.997437,42.921997,104.854851,195.191162,66.53849,111.042427,78.310112,122.698708,256.617279,48.53764,90.372299,114.638885,110.128448,159.336166,45.434132,10.65134,38.436432,82.961617,147.955048
12,10/1/18,99.111862,52.825207,343.231323,113.800682,69.708008,215.925323,167.182297,73.891891,103.342171,44.35009,71.787827,131.709808,44.870876,101.305183,176.247299,69.513924,103.702377,83.437958,119.05777,252.94397,51.901356,96.502312,112.570404,100.554794,168.489273,42.72583,9.619476,37.555546,73.482521,135.889206
13,11/1/18,108.706787,43.10302,335.396851,128.072342,69.550537,182.698685,171.40271,72.481979,111.256447,46.648952,77.020126,138.211044,47.232502,104.045166,192.606628,74.925056,107.663681,89.709091,124.043488,272.310333,55.427071,93.97139,113.217415,107.120354,179.547272,45.007935,7.143174,40.320316,73.56089,139.694275
14,12/1/18,92.294746,38.205803,313.372223,119.953957,60.260742,160.69751,164.300034,63.707687,103.062599,44.676796,72.212852,122.190071,44.725079,91.347137,177.712036,72.158104,99.040863,87.250633,113.93885,241.877808,51.676788,89.640907,107.49234,98.936569,170.170425,40.739376,7.209844,38.363907,72.816696,130.296753
15,1/1/19,99.440514,40.313007,374.705688,125.702904,64.758865,190.480179,175.497498,70.642075,121.876251,44.85767,72.658447,126.005859,45.46183,96.849304,186.814972,70.781006,101.829651,91.569519,120.185806,262.345001,50.610531,92.723198,110.173546,104.265808,171.330017,44.46262,9.689939,37.309223,80.418549,133.328522
16,2/1/19,104.747513,41.938221,427.507721,130.482864,69.84024,189.219986,177.037048,75.189201,125.240044,50.417278,71.87529,129.376602,42.826504,98.44709,193.427628,77.304688,109.240402,94.283714,127.241493,235.178406,52.866264,95.780754,111.477608,108.749283,176.179153,49.051647,10.305668,38.432991,84.199837,146.275238
17,3/1/19,106.264191,46.20462,372.486572,128.72525,72.197174,185.434952,183.491623,77.57402,129.423477,51.445797,73.03006,133.236984,44.262245,95.494431,195.13121,79.092514,115.494392,99.545609,131.310226,240.071869,54.91888,94.368088,109.689461,113.149323,183.145294,51.155079,9.908915,37.652805,82.70697,154.513962
18,4/1/19,113.97393,48.812218,368.843903,132.45903,71.732529,198.889313,196.235184,85.831558,128.66217,48.897453,78.325043,134.580887,46.744827,109.474747,177.973434,75.359108,127.891884,101.87043,138.429794,227.158112,53.117035,100.041351,135.316269,110.283379,190.54245,53.012165,10.098141,36.00378,86.484299,162.665512
19,5/1/19,111.918716,42.585117,333.608948,114.518089,63.235058,176.259308,182.892731,76.015198,116.481133,42.191303,62.495029,125.002029,46.81152,100.721298,150.025101,75.837822,121.115356,99.150009,140.182465,235.666687,50.999382,98.679451,130.445786,104.579056,191.21756,49.610115,9.373297,36.810558,75.958084,159.598801
20,6/1/19,120.436295,48.328697,357.526581,130.270157,69.255989,191.14119,200.348694,78.794716,127.990768,46.141384,72.761208,133.659256,48.517044,106.272552,164.180618,80.280281,131.667801,105.643753,143.986267,237.820618,53.608002,108.054138,137.954025,115.431351,201.446396,52.184547,10.425808,38.747032,81.412689,171.951736
21,7/1/19,121.343658,52.020744,335.10321,125.854225,67.20443,213.572449,207.303055,80.852333,137.587784,48.724609,69.940704,124.964874,50.537811,110.2649,165.487686,79.987564,133.938263,113.727196,141.97493,243.768539,51.862671,107.946556,141.28334,114.197632,204.414841,52.823387,10.386147,34.739952,84.947647,176.360748
22,8/1/19,117.808266,50.970757,357.605164,114.61908,61.890255,197.835632,221.098007,78.818932,125.791084,45.697998,66.11216,123.179932,52.852009,105.167793,153.174622,83.341667,135.501053,116.587357,142.304153,229.074493,55.148952,111.74102,136.442535,109.197838,211.447891,44.914574,8.199591,31.797253,83.436905,179.154785
23,9/1/19,115.762733,54.897453,376.025269,121.659966,64.608772,202.318573,225.08519,83.110924,136.560715,50.00457,69.401703,125.089134,52.27586,112.663368,157.137833,81.134521,137.106079,120.611626,143.97934,212.74559,57.235062,116.634895,129.543869,111.145065,209.38678,47.409294,8.885374,32.437805,92.977966,170.671829
24,10/1/19,114.784019,60.973743,335.939117,132.726974,61.827137,208.322815,228.284866,87.40892,125.582901,54.85656,64.14621,127.660904,52.648392,119.584564,157.701797,84.079887,141.385986,120.737694,127.59243,248.547455,57.339359,117.047661,129.146255,110.189186,191.823288,45.586227,9.929743,34.640648,88.651802,174.789551
25,11/1/19,118.013214,65.505836,361.902222,140.497559,62.339535,216.103928,215.22551,89.3,126.259041,56.331562,63.075645,132.930176,51.652111,127.142815,162.27063,84.584404,149.285172,119.117989,133.102676,275.270996,57.71563,117.037827,150.677261,109.767456,189.658325,43.804592,11.213248,34.776066,92.552277,183.07457
26,12/1/19,122.306564,72.192863,323.833313,143.361298,64.619324,225.746246,213.146561,91.625282,127.360703,58.397919,62.77137,142.009354,53.938194,134.515091,170.086777,88.242149,156.04689,121.889549,133.326569,289.149139,58.827019,116.79213,143.768646,114.047806,193.945755,46.36655,11.103802,35.713772,100.555542,186.750488
27,1/1/20,127.592209,76.091995,316.387573,127.508842,57.525826,233.42395,224.057556,91.63,136.567856,62.378933,50.041103,144.929947,56.9104,127.721802,152.964325,83.46463,168.445557,121.616287,128.916504,269.003143,56.94915,113.02179,138.309998,101.394745,210.00238,44.442673,12.398536,33.945408,95.582863,197.752747
28,2/1/20,108.376282,67.204628,273.482849,121.452766,47.635681,197.116852,213.97937,91.89,123.664551,54.172977,41.945358,130.920807,52.125637,112.760529,143.882492,74.789925,160.311722,111.157333,117.349075,251.734406,52.430435,106.299118,117.650002,88.334763,190.569534,38.887131,10.835026,30.774542,88.714386,180.648041
29,3/1/20,84.400017,62.664707,149.139999,113.436722,35.666676,152.705124,183.401077,80.28,106.50293,53.066994,33.554176,128.473511,43.121319,87.432869,132.80127,75.16114,156.483047,107.986458,97.309326,246.225006,52.014164,112.162949,96.599998,69.375916,163.299484,38.283325,7.907179,30.056282,82.351677,160.366241
30,4/1/20,89.960297,72.401154,141.020004,113.769089,43.651047,181.183624,217.378815,63.306355,120.549057,58.812981,46.267376,147.000412,45.111679,92.997581,147.792633,78.145935,177.815781,115.712402,99.78656,290.020691,55.615372,120.522179,108.150002,88.084251,185.234055,41.273144,6.778616,35.323498,86.770844,177.883911
31,5/1/20,94.246941,78.349983,145.850006,118.513115,42.711712,194.094269,245.709335,63.023079,119.915405,61.705582,49.917992,145.736557,45.888279,95.484879,152.189835,79.505173,181.824356,114.557007,105.475426,302.296997,56.144997,123.010948,117.300003,87.797012,184.00943,47.012615,6.54934,35.166958,98.117348,194.326614
32,6/1/20,94.375809,90.879066,183.300003,124.797386,42.821705,196.430725,247.716721,60.723522,117.505257,58.997292,52.59861,138.73616,43.922199,92.29583,153.257187,76.166191,202.489105,118.164093,112.445984,292.47995,53.943424,119.289581,111.510002,86.686363,183.397049,45.852539,6.808522,30.411621,97.833275,192.588226
33,7/1/20,92.512093,105.886086,158,131.091507,40.293766,196.768692,264.09726,55.855396,119.6166,47.065693,52.945107,143.797073,46.860676,94.827438,147.833893,79.660614,203.981583,129.578278,113.564919,301.537476,56.242844,128.870193,116.940002,81.547157,193.149994,46.304768,6.059984,35.787132,97.394249,189.826569
34,8/1/20,101.167442,128.585907,171.820007,141.446045,38.244602,203.637085,283.544739,60.112541,119.976593,50.240879,55.502205,151.344055,49.132286,99.268852,160.164032,84.654297,224.398651,137.566162,115.172813,311.267365,58.645584,138.281509,131.869995,81.537437,212.278091,41.834137,6.329538,35.488914,111.642677,211.351547
